latitude,longitude,pokemon,times
52.7527426622656,16.4039921150344,Krabby x 5 | ,22:48:58 | 22:53:05 | 22:57:19 | 23:01:28 | 23:01:46 | 
52.7107061385251,16.3957257199294,Drowzee x 2 | Pidgey x 2 | Rattata x 3 | Eevee x 1 | ,22:52:06 | 23:52:06 | 08:52:06 | 09:52:06 | 10:52:06 | 11:52:06 | 12:52:06 | 13:52:06 | 
52.6989280756364,9.0,Kakuna x 11 | Weedle x 12 | Rattata x 7 | Pidgey x 31 | Eevee x 9 | ,22:19:35 | 22:19:56 | 22:23:05 | 22:23:27 | 22:26:42 | 22:27:03 | 22:30:21 | 22:30:42 | 22:32:13 | 23:19:09 | 23:19:31 | 23:23:19 | 23:23:42 | 23:27:32 | 23:27:54 | 23:31:41 | 23:32:03 | 23:32:13 | 00:18:06 | 00:19:40 | 00:19:49 | 00:21:24 | 00:23:10 | 00:23:17 | 08:32:13 | 09:19:50 | 09:20:09 | 09:22:51 | 09:23:10 | 09:25:51 | 09:26:10 | 09:28:53 | 09:29:11 | 09:31:55 | 09:32:13 | 10:17:28 | 10:17:47 | 10:20:33 | 10:20:52 | 10:23:39 | 10:23:58 | 10:26:44 | 10:27:03 | 10:29:45 | 10:30:04 | 10:32:13 | 11:32:13 | 12:19:05 | 12:19:23 | 12:22:04 | 12:22:22 | 12:25:04 | 12:25:21 | 12:28:02 | 12:28:21 | 12:31:03 | 12:31:21 | 12:32:13 | 13:18:53 | 13:19:12 | 13:21:54 | 13:22:12 | 13:24:53 | 13:25:11 | 13:27:52 | 13:28:11 | 13:30:53 | 13:31:10 | 13:32:13 | 14:32:13 | 
52.7146494298721,16.3739604522455,Venonat x 7 | Rattata x 25 | Pidgey x 7 | Eevee x 10 | ,21:58:48 | 22:47:52 | 22:51:59 | 22:56:12 | 22:58:48 | 23:45:52 | 23:49:35 | 23:51:21 | 23:54:55 | 23:56:36 | 23:58:19 | 23:58:48 | 08:45:06 | 08:48:13 | 08:51:14 | 08:54:13 | 08:57:13 | 08:58:48 | 09:45:36 | 09:48:36 | 09:51:35 | 09:54:36 | 09:57:35 | 09:58:48 | 10:46:20 | 10:49:17 | 10:52:16 | 10:55:14 | 10:58:13 | 10:58:48 | 11:44:27 | 11:47:26 | 11:50:25 | 11:53:23 | 11:56:43 | 11:58:48 | 12:44:38 | 12:47:36 | 12:50:34 | 12:53:33 | 12:56:32 | 12:58:48 | 13:44:25 | 13:47:24 | 13:50:22 | 13:53:21 | 13:56:19 | 13:58:48 | 14:46:37 | 
52.712237792479,16.3946142013032,Paras x 1 | Weedle x 2 | Pidgey x 1 | Rattata x 3 | ,22:16:32 | 23:16:32 | 00:16:32 | 09:16:32 | 10:16:32 | 12:16:32 | 13:16:32 | 
52.7563616686598,16.4021046559624,Oddish x 4 | Eevee x 2 | ,22:44:57 | 22:49:04 | 22:53:11 | 22:53:26 | 23:38:46 | 23:40:52 | 
52.7088984000579,16.3769753756047,Zubat x 1 | Spearow x 5 | Venonat x 1 | Rattata x 1 | ,22:27:37 | 23:27:37 | 09:27:37 | 10:27:37 | 11:27:37 | 12:27:37 | 13:27:37 | 14:27:37 | 
52.7146084846377,16.3706109213164,Paras x 6 | Pidgey x 12 | Venonat x 3 | Caterpie x 7 | Rattata x 11 | ,22:32:45 | 22:36:43 | 22:40:29 | 22:44:19 | 22:46:16 | 23:33:59 | 23:38:07 | 23:46:16 | 08:44:55 | 08:46:16 | 09:33:13 | 09:36:17 | 09:39:18 | 09:42:18 | 09:45:25 | 09:46:16 | 10:34:07 | 10:37:06 | 10:40:09 | 10:43:07 | 10:46:08 | 10:46:16 | 11:44:15 | 11:46:16 | 12:32:21 | 12:35:21 | 12:38:21 | 12:41:23 | 12:44:26 | 12:46:16 | 13:32:10 | 13:35:10 | 13:38:10 | 13:41:11 | 13:44:13 | 13:46:16 | 14:40:27 | 14:43:26 | 14:46:16 | 
52.7052382771508,16.3712924586343,Weedle x 5 | Pidgey x 1 | Rattata x 3 | ,21:56:38 | 22:56:38 | 23:56:38 | 08:56:38 | 09:56:38 | 10:56:38 | 11:56:38 | 12:56:38 | 13:56:38 | 
52.7136593637797,16.3979123992898,Kakuna x 1 | Horsea x 1 | Weedle x 4 | Pidgey x 2 | ,22:53:33 | 23:53:33 | 08:53:33 | 09:53:33 | 10:53:33 | 11:53:33 | 12:53:33 | 13:53:33 | 
